,Demand,Predict
0,25910.3333333,24720.1426144
1,24292.1666667,25663.8784852
2,23722.6666667,25283.4005056
3,23285.3333333,25885.3769717
4,23241.3333333,25332.54529
5,23724.8333333,26034.5638379
6,24986.5,26764.5946058
7,25914.1666667,27036.5624122
8,28518.0,27115.5416197
9,30495.1666667,27920.7663944
10,30806.1666667,28224.6360948
11,30338.6666667,29223.588875
12,30409.3333333,29034.7021928
13,29742.5,29889.5280447
14,28370.3333333,30459.245083
15,27791.0,30955.8939572
16,27739.6666667,31582.6624855
17,28409.6666667,31893.8494193
18,30358.3333333,32064.4050951
19,31142.0,30536.0269971
20,30920.0,28455.830475
21,29564.8333333,27587.9352299
22,27621.3333333,28880.9227128
23,25898.8333333,29794.1260415
24,24053.1666667,22491.2550856
25,22412.8333333,24540.8189757
26,21686.5,25999.2389835
27,21405.1666667,27982.3936101
28,21440.6666667,26619.7686295
29,21891.6666667,26158.7390324
30,22435.3333333,25476.3675029
31,22692.8333333,25816.92865
32,24718.0,26524.0400384
33,26855.5,26355.2262721
34,27952.0,27070.793812
35,27990.1666667,28197.5545523
36,28289.5,29903.3443921
37,28020.3333333,28254.1375435
38,26757.6666667,28141.1601742
39,26085.6666667,27591.6602836
40,25923.0,26141.755171
41,27059.5,27482.9687557
42,29630.8333333,28366.1079069
43,31310.1666667,27925.188332
44,31555.1666667,28586.5866829
45,30656.1666667,28170.0722321
46,28236.0,29223.4318784
47,26189.3333333,30318.4292192
48,24524.1666667,24477.1399032
49,23272.6666667,23490.5138689
50,22711.5,23806.6208563
51,22690.0,23587.1782948
52,23348.0,23286.2046522
53,26099.8333333,23193.9125594
54,31101.1666667,23378.4614828
55,33947.0,25861.9990464
56,35211.1666667,28123.1178155
57,35889.5,29471.3253838
58,35733.3333333,30532.8336137
59,35650.1666667,30832.5432967
60,35546.6666667,32990.1803249
61,34226.3333333,31639.9595549
62,33591.8333333,31676.0794633
63,33326.5,32271.4099641
64,33371.0,32576.5924934
65,33752.6666667,33743.5706401
66,36349.5,35211.7902913
67,37084.1666667,35834.6457614
68,36362.0,35601.5918127
69,33752.5,36367.9309986
70,30774.8333333,35275.6349129
71,28548.3333333,35669.4230681
72,26433.8333333,28838.2810606
73,25172.6666667,27576.7083415
74,24404.6666667,26065.7895958
75,24190.1666667,24490.8568403
76,24884.0,26042.0778089
77,27328.8333333,28473.7712877
78,31948.0,28366.2811117
79,34863.8333333,30819.0896032
80,36238.5,32211.997492
81,36564.8333333,33895.311249
82,36270.8333333,35256.1005804
83,36010.0,36198.6805395
84,35709.3333333,36847.6893795
85,34046.1666667,37756.9229669
86,33311.8333333,36709.9585021
87,33048.6666667,36962.5213312
88,33235.8333333,35377.9348167
89,33776.3333333,33463.3708588
90,36357.6666667,32781.9931015
91,37584.3333333,32605.4736888
92,37192.5,32171.6862407
93,34552.0,32274.669373
94,31027.1666667,33678.9331262
95,28731.8333333,34076.8975101
96,26630.1666667,28224.6956432
97,25051.1666667,27703.864332
98,24593.0,27946.3786672
99,24447.0,27382.262396
100,24949.0,27746.7256772
101,27422.6666667,27697.2636422
102,32296.5,27288.5801804
103,35245.8333333,30381.1128638
104,36440.1666667,32376.0632454
105,36650.5,34491.7548202
106,36587.1666667,35175.2192752
107,36211.1666667,35309.9094747
108,36051.5,35558.1970543
109,34744.6666667,34283.9616589
110,34076.3333333,33694.4924821
111,33981.3333333,32475.7921816
112,34064.6666667,32208.1883029
113,34712.1666667,32185.8969333
114,37513.1666667,32169.3703316
115,38486.1666667,32763.8483123
116,37677.0,32653.6436685
117,34994.3333333,32476.9920289
118,31486.5,33022.7817753
119,28946.3333333,33925.9015174
120,26792.8333333,27534.3289342
121,25280.5,28328.8738332
122,24702.3333333,29180.9226098
123,24556.5,29571.3714091
124,25036.5,28587.5014713
125,27494.6666667,28820.7395297
126,32245.1666667,27799.4841438
127,34782.8333333,29947.2496131
128,36129.0,32409.8019312
129,36800.1666667,34731.5796353
130,36713.8333333,36280.0568612
131,36386.0,36979.665162
132,36473.8333333,37811.5941339
133,35365.1666667,36615.2564946
134,34724.8333333,35214.3228141
135,34630.8333333,35551.2754095
136,34702.6666667,35577.4957603
137,34898.1666667,35411.1738364
138,37577.1666667,35154.1357735
139,38202.5,34940.1669322
140,37539.8333333,36052.0608607
141,34983.6666667,35271.7110578
142,31607.6666667,35418.6314044
143,28820.6666667,36496.065763
144,26655.8333333,29486.4452649
145,25253.1666667,29929.171683
146,24651.5,29696.2292042
147,24558.0,30097.7550089
148,25097.3333333,29669.7787368
149,27604.1666667,29026.9780165
150,31950.5,28807.2840827
151,34604.8333333,30040.491675
152,36074.1666667,32267.2506746
153,36719.1666667,33806.8088625
154,36656.3333333,33893.3590737
155,36094.6666667,34650.6828653
156,35847.5,33983.2480254
157,34460.0,33124.576779
158,33738.0,33947.4044203
159,33089.8333333,33055.6485899
160,33102.6666667,32947.4305571
161,33390.3333333,32639.290887
162,35752.8333333,31794.0645015
163,36308.8333333,32396.0257724
164,35857.8333333,32641.0559039
165,33835.1666667,32851.4734881
166,31000.6666667,33079.702636
167,28846.3333333,33016.6875947
168,24053.1666667,24800.9587685
169,22412.8333333,24695.1464496
170,21686.5,23953.1714087
171,21405.1666667,22045.5525551
172,21440.6666667,22495.839495
173,21891.6666667,22494.8460703
174,22435.3333333,22985.1059635
175,22692.8333333,25196.1369292
176,24718.0,27991.9839614
177,26855.5,30256.3952235
178,27952.0,29062.4266375
179,27990.1666667,28483.4338623
180,28289.5,27106.5827527
181,28020.3333333,27320.2053365
182,26757.6666667,27257.8715596
183,26085.6666667,27128.7087066
184,25923.0,28052.4156475
185,27059.5,29105.598419
186,29630.8333333,29690.6009074
187,31310.1666667,29238.8351977
188,31555.1666667,28955.6231837
