Demand,available_date,prediction_date
24525.6666667,2014-12-31 00:00:00,2015-01-01 00:00:00
22809.1666667,2014-12-31 00:00:00,2015-01-01 01:00:00
21508.3333333,2014-12-31 00:00:00,2015-01-01 02:00:00
20116.1666667,2014-12-31 00:00:00,2015-01-01 03:00:00
19870.1666667,2014-12-31 00:00:00,2015-01-01 04:00:00
19804.6666667,2014-12-31 00:00:00,2015-01-01 05:00:00
20314.8333333,2014-12-31 00:00:00,2015-01-01 06:00:00
20378.8333333,2014-12-31 00:00:00,2015-01-01 07:00:00
20360.0,2014-12-31 00:00:00,2015-01-01 08:00:00
22032.0,2014-12-31 00:00:00,2015-01-01 09:00:00
23620.5,2014-12-31 00:00:00,2015-01-01 10:00:00
24168.1666667,2014-12-31 00:00:00,2015-01-01 11:00:00
24633.0,2014-12-31 00:00:00,2015-01-01 12:00:00
24757.6666667,2014-12-31 00:00:00,2015-01-01 13:00:00
23572.8333333,2014-12-31 00:00:00,2015-01-01 14:00:00
23087.6666667,2014-12-31 00:00:00,2015-01-01 15:00:00
23442.3333333,2014-12-31 00:00:00,2015-01-01 16:00:00
26296.6666667,2014-12-31 00:00:00,2015-01-01 17:00:00
27620.1666667,2014-12-31 00:00:00,2015-01-01 18:00:00
28856.3333333,2014-12-31 00:00:00,2015-01-01 19:00:00
29509.3333333,2014-12-31 00:00:00,2015-01-01 20:00:00
29224.3333333,2014-12-31 00:00:00,2015-01-01 21:00:00
27268.1666667,2014-12-31 00:00:00,2015-01-01 22:00:00
24198.0,2014-12-31 00:00:00,2015-01-01 23:00:00
21844.6666667,2015-01-01 00:00:00,2015-01-02 00:00:00
20334.8333333,2015-01-01 00:00:00,2015-01-02 01:00:00
19573.8333333,2015-01-01 00:00:00,2015-01-02 02:00:00
19195.5,2015-01-01 00:00:00,2015-01-02 03:00:00
19722.6666667,2015-01-01 00:00:00,2015-01-02 04:00:00
21422.6666667,2015-01-01 00:00:00,2015-01-02 05:00:00
24135.0,2015-01-01 00:00:00,2015-01-02 06:00:00
27117.6666667,2015-01-01 00:00:00,2015-01-02 07:00:00
30384.8333333,2015-01-01 00:00:00,2015-01-02 08:00:00
32338.6666667,2015-01-01 00:00:00,2015-01-02 09:00:00
32442.0,2015-01-01 00:00:00,2015-01-02 10:00:00
31711.8333333,2015-01-01 00:00:00,2015-01-02 11:00:00
31954.3333333,2015-01-01 00:00:00,2015-01-02 12:00:00
30975.6666667,2015-01-01 00:00:00,2015-01-02 13:00:00
30163.0,2015-01-01 00:00:00,2015-01-02 14:00:00
29992.3333333,2015-01-01 00:00:00,2015-01-02 15:00:00
30563.6666667,2015-01-01 00:00:00,2015-01-02 16:00:00
32737.3333333,2015-01-01 00:00:00,2015-01-02 17:00:00
33658.5,2015-01-01 00:00:00,2015-01-02 18:00:00
33910.8333333,2015-01-01 00:00:00,2015-01-02 19:00:00
34079.6666667,2015-01-01 00:00:00,2015-01-02 20:00:00
32136.6666667,2015-01-01 00:00:00,2015-01-02 21:00:00
29962.1666667,2015-01-01 00:00:00,2015-01-02 22:00:00
26515.1666667,2015-01-01 00:00:00,2015-01-02 23:00:00
24679.0,2015-01-02 00:00:00,2015-01-03 00:00:00
22933.8333333,2015-01-02 00:00:00,2015-01-03 01:00:00
22143.3333333,2015-01-02 00:00:00,2015-01-03 02:00:00
21571.3333333,2015-01-02 00:00:00,2015-01-03 03:00:00
21685.5,2015-01-02 00:00:00,2015-01-03 04:00:00
22337.6666667,2015-01-02 00:00:00,2015-01-03 05:00:00
23366.8333333,2015-01-02 00:00:00,2015-01-03 06:00:00
25013.8333333,2015-01-02 00:00:00,2015-01-03 07:00:00
27211.1666667,2015-01-02 00:00:00,2015-01-03 08:00:00
