ESWind,available_date,prediction_date
5930.16666667,2014-12-31 00:00:00,2015-01-01 00:00:00
5491.83333333,2014-12-31 00:00:00,2015-01-01 01:00:00
5248.5,2014-12-31 00:00:00,2015-01-01 02:00:00
4951.33333333,2014-12-31 00:00:00,2015-01-01 03:00:00
4658.0,2014-12-31 00:00:00,2015-01-01 04:00:00
4414.5,2014-12-31 00:00:00,2015-01-01 05:00:00
4024.0,2014-12-31 00:00:00,2015-01-01 06:00:00
3666.83333333,2014-12-31 00:00:00,2015-01-01 07:00:00
3123.66666667,2014-12-31 00:00:00,2015-01-01 08:00:00
2701.83333333,2014-12-31 00:00:00,2015-01-01 09:00:00
2733.5,2014-12-31 00:00:00,2015-01-01 10:00:00
2917.33333333,2014-12-31 00:00:00,2015-01-01 11:00:00
2918.0,2014-12-31 00:00:00,2015-01-01 12:00:00
2950.16666667,2014-12-31 00:00:00,2015-01-01 13:00:00
2731.16666667,2014-12-31 00:00:00,2015-01-01 14:00:00
2559.66666667,2014-12-31 00:00:00,2015-01-01 15:00:00
2676.16666667,2014-12-31 00:00:00,2015-01-01 16:00:00
2757.83333333,2014-12-31 00:00:00,2015-01-01 17:00:00
2900.83333333,2014-12-31 00:00:00,2015-01-01 18:00:00
3097.5,2014-12-31 00:00:00,2015-01-01 19:00:00
3344.66666667,2014-12-31 00:00:00,2015-01-01 20:00:00
3504.5,2014-12-31 00:00:00,2015-01-01 21:00:00
3528.33333333,2014-12-31 00:00:00,2015-01-01 22:00:00
3374.33333333,2014-12-31 00:00:00,2015-01-01 23:00:00
3115.0,2015-01-01 00:00:00,2015-01-02 00:00:00
3024.0,2015-01-01 00:00:00,2015-01-02 01:00:00
2829.0,2015-01-01 00:00:00,2015-01-02 02:00:00
2908.33333333,2015-01-01 00:00:00,2015-01-02 03:00:00
3111.33333333,2015-01-01 00:00:00,2015-01-02 04:00:00
3151.16666667,2015-01-01 00:00:00,2015-01-02 05:00:00
3289.66666667,2015-01-01 00:00:00,2015-01-02 06:00:00
3117.66666667,2015-01-01 00:00:00,2015-01-02 07:00:00
2882.0,2015-01-01 00:00:00,2015-01-02 08:00:00
2318.33333333,2015-01-01 00:00:00,2015-01-02 09:00:00
1836.5,2015-01-01 00:00:00,2015-01-02 10:00:00
1416.66666667,2015-01-01 00:00:00,2015-01-02 11:00:00
1355.66666667,2015-01-01 00:00:00,2015-01-02 12:00:00
1329.83333333,2015-01-01 00:00:00,2015-01-02 13:00:00
1468.33333333,2015-01-01 00:00:00,2015-01-02 14:00:00
1644.83333333,2015-01-01 00:00:00,2015-01-02 15:00:00
1831.33333333,2015-01-01 00:00:00,2015-01-02 16:00:00
1872.33333333,2015-01-01 00:00:00,2015-01-02 17:00:00
1823.16666667,2015-01-01 00:00:00,2015-01-02 18:00:00
1729.16666667,2015-01-01 00:00:00,2015-01-02 19:00:00
1798.83333333,2015-01-01 00:00:00,2015-01-02 20:00:00
1957.16666667,2015-01-01 00:00:00,2015-01-02 21:00:00
1919.83333333,2015-01-01 00:00:00,2015-01-02 22:00:00
1852.5,2015-01-01 00:00:00,2015-01-02 23:00:00
1962.66666667,2015-01-02 00:00:00,2015-01-03 00:00:00
2204.83333333,2015-01-02 00:00:00,2015-01-03 01:00:00
2368.5,2015-01-02 00:00:00,2015-01-03 02:00:00
2594.16666667,2015-01-02 00:00:00,2015-01-03 03:00:00
2773.0,2015-01-02 00:00:00,2015-01-03 04:00:00
3021.66666667,2015-01-02 00:00:00,2015-01-03 05:00:00
3231.33333333,2015-01-02 00:00:00,2015-01-03 06:00:00
3290.33333333,2015-01-02 00:00:00,2015-01-03 07:00:00
3455.66666667,2015-01-02 00:00:00,2015-01-03 08:00:00
3422.66666667,2015-01-02 00:00:00,2015-01-03 09:00:00
3185.16666667,2015-01-02 00:00:00,2015-01-03 10:00:00
2962.0,2015-01-02 00:00:00,2015-01-03 11:00:00
3103.83333333,2015-01-02 00:00:00,2015-01-03 12:00:00
3388.16666667,2015-01-02 00:00:00,2015-01-03 13:00:00
3567.66666667,2015-01-02 00:00:00,2015-01-03 14:00:00
3847.0,2015-01-02 00:00:00,2015-01-03 15:00:00
4335.33333333,2015-01-02 00:00:00,2015-01-03 16:00:00
4824.16666667,2015-01-02 00:00:00,2015-01-03 17:00:00
4951.83333333,2015-01-02 00:00:00,2015-01-03 18:00:00
5067.16666667,2015-01-02 00:00:00,2015-01-03 19:00:00
5204.16666667,2015-01-02 00:00:00,2015-01-03 20:00:00
5125.16666667,2015-01-02 00:00:00,2015-01-03 21:00:00
5114.0,2015-01-02 00:00:00,2015-01-03 22:00:00
5193.33333333,2015-01-02 00:00:00,2015-01-03 23:00:00
5025.5,2015-01-03 00:00:00,2015-01-04 00:00:00
5058.83333333,2015-01-03 00:00:00,2015-01-04 01:00:00
5096.0,2015-01-03 00:00:00,2015-01-04 02:00:00
5224.66666667,2015-01-03 00:00:00,2015-01-04 03:00:00
5166.83333333,2015-01-03 00:00:00,2015-01-04 04:00:00
5193.33333333,2015-01-03 00:00:00,2015-01-04 05:00:00
5094.0,2015-01-03 00:00:00,2015-01-04 06:00:00
5002.33333333,2015-01-03 00:00:00,2015-01-04 07:00:00
4769.33333333,2015-01-03 00:00:00,2015-01-04 08:00:00
4379.16666667,2015-01-03 00:00:00,2015-01-04 09:00:00
4072.16666667,2015-01-03 00:00:00,2015-01-04 10:00:00
