PTWind,available_date,prediction_date
516.55,2014-12-31 00:00:00,2015-01-01 00:00:00
555.1,2014-12-31 00:00:00,2015-01-01 01:00:00
600.575,2014-12-31 00:00:00,2015-01-01 02:00:00
709.65,2014-12-31 00:00:00,2015-01-01 03:00:00
724.0,2014-12-31 00:00:00,2015-01-01 04:00:00
768.775,2014-12-31 00:00:00,2015-01-01 05:00:00
729.8,2014-12-31 00:00:00,2015-01-01 06:00:00
870.775,2014-12-31 00:00:00,2015-01-01 07:00:00
849.975,2014-12-31 00:00:00,2015-01-01 08:00:00
804.325,2014-12-31 00:00:00,2015-01-01 09:00:00
779.55,2014-12-31 00:00:00,2015-01-01 10:00:00
625.1,2014-12-31 00:00:00,2015-01-01 11:00:00
353.075,2014-12-31 00:00:00,2015-01-01 12:00:00
219.425,2014-12-31 00:00:00,2015-01-01 13:00:00
132.725,2014-12-31 00:00:00,2015-01-01 14:00:00
89.625,2014-12-31 00:00:00,2015-01-01 15:00:00
114.375,2014-12-31 00:00:00,2015-01-01 16:00:00
167.875,2014-12-31 00:00:00,2015-01-01 17:00:00
224.625,2014-12-31 00:00:00,2015-01-01 18:00:00
275.7,2014-12-31 00:00:00,2015-01-01 19:00:00
241.35,2014-12-31 00:00:00,2015-01-01 20:00:00
227.325,2014-12-31 00:00:00,2015-01-01 21:00:00
189.675,2014-12-31 00:00:00,2015-01-01 22:00:00
151.925,2014-12-31 00:00:00,2015-01-01 23:00:00
146.4,2015-01-01 00:00:00,2015-01-02 00:00:00
190.2,2015-01-01 00:00:00,2015-01-02 01:00:00
246.575,2015-01-01 00:00:00,2015-01-02 02:00:00
291.875,2015-01-01 00:00:00,2015-01-02 03:00:00
306.0,2015-01-01 00:00:00,2015-01-02 04:00:00
347.125,2015-01-01 00:00:00,2015-01-02 05:00:00
419.675,2015-01-01 00:00:00,2015-01-02 06:00:00
475.65,2015-01-01 00:00:00,2015-01-02 07:00:00
509.1,2015-01-01 00:00:00,2015-01-02 08:00:00
493.85,2015-01-01 00:00:00,2015-01-02 09:00:00
370.5,2015-01-01 00:00:00,2015-01-02 10:00:00
180.1,2015-01-01 00:00:00,2015-01-02 11:00:00
76.875,2015-01-01 00:00:00,2015-01-02 12:00:00
25.6,2015-01-01 00:00:00,2015-01-02 13:00:00
22.725,2015-01-01 00:00:00,2015-01-02 14:00:00
43.2,2015-01-01 00:00:00,2015-01-02 15:00:00
106.825,2015-01-01 00:00:00,2015-01-02 16:00:00
236.225,2015-01-01 00:00:00,2015-01-02 17:00:00
276.575,2015-01-01 00:00:00,2015-01-02 18:00:00
279.2,2015-01-01 00:00:00,2015-01-02 19:00:00
237.65,2015-01-01 00:00:00,2015-01-02 20:00:00
278.15,2015-01-01 00:00:00,2015-01-02 21:00:00
276.575,2015-01-01 00:00:00,2015-01-02 22:00:00
288.3,2015-01-01 00:00:00,2015-01-02 23:00:00
266.275,2015-01-02 00:00:00,2015-01-03 00:00:00
265.9,2015-01-02 00:00:00,2015-01-03 01:00:00
258.175,2015-01-02 00:00:00,2015-01-03 02:00:00
235.95,2015-01-02 00:00:00,2015-01-03 03:00:00
209.125,2015-01-02 00:00:00,2015-01-03 04:00:00
181.325,2015-01-02 00:00:00,2015-01-03 05:00:00
167.675,2015-01-02 00:00:00,2015-01-03 06:00:00
187.075,2015-01-02 00:00:00,2015-01-03 07:00:00
187.0,2015-01-02 00:00:00,2015-01-03 08:00:00
164.45,2015-01-02 00:00:00,2015-01-03 09:00:00
129.85,2015-01-02 00:00:00,2015-01-03 10:00:00
77.6,2015-01-02 00:00:00,2015-01-03 11:00:00
37.8,2015-01-02 00:00:00,2015-01-03 12:00:00
35.05,2015-01-02 00:00:00,2015-01-03 13:00:00
40.025,2015-01-02 00:00:00,2015-01-03 14:00:00
39.425,2015-01-02 00:00:00,2015-01-03 15:00:00
48.725,2015-01-02 00:00:00,2015-01-03 16:00:00
65.375,2015-01-02 00:00:00,2015-01-03 17:00:00
97.65,2015-01-02 00:00:00,2015-01-03 18:00:00
91.65,2015-01-02 00:00:00,2015-01-03 19:00:00
85.225,2015-01-02 00:00:00,2015-01-03 20:00:00
88.75,2015-01-02 00:00:00,2015-01-03 21:00:00
103.1,2015-01-02 00:00:00,2015-01-03 22:00:00
113.975,2015-01-02 00:00:00,2015-01-03 23:00:00
120.1,2015-01-03 00:00:00,2015-01-04 00:00:00
125.625,2015-01-03 00:00:00,2015-01-04 01:00:00
131.6,2015-01-03 00:00:00,2015-01-04 02:00:00
107.775,2015-01-03 00:00:00,2015-01-04 03:00:00
101.7,2015-01-03 00:00:00,2015-01-04 04:00:00
95.025,2015-01-03 00:00:00,2015-01-04 05:00:00
90.25,2015-01-03 00:00:00,2015-01-04 06:00:00
100.6,2015-01-03 00:00:00,2015-01-04 07:00:00
127.8,2015-01-03 00:00:00,2015-01-04 08:00:00
153.575,2015-01-03 00:00:00,2015-01-04 09:00:00
168.15,2015-01-03 00:00:00,2015-01-04 10:00:00
153.075,2015-01-03 00:00:00,2015-01-04 11:00:00
127.875,2015-01-03 00:00:00,2015-01-04 12:00:00
127.875,2015-01-03 00:00:00,2015-01-04 13:00:00
117.7,2015-01-03 00:00:00,2015-01-04 14:00:00
151.6,2015-01-03 00:00:00,2015-01-04 15:00:00
235.6,2015-01-03 00:00:00,2015-01-04 16:00:00
313.4,2015-01-03 00:00:00,2015-01-04 17:00:00
333.875,2015-01-03 00:00:00,2015-01-04 18:00:00
365.35,2015-01-03 00:00:00,2015-01-04 19:00:00
349.375,2015-01-03 00:00:00,2015-01-04 20:00:00
359.425,2015-01-03 00:00:00,2015-01-04 21:00:00
367.525,2015-01-03 00:00:00,2015-01-04 22:00:00
379.95,2015-01-03 00:00:00,2015-01-04 23:00:00
393.425,2015-01-04 00:00:00,2015-01-05 00:00:00
363.15,2015-01-04 00:00:00,2015-01-05 01:00:00
306.475,2015-01-04 00:00:00,2015-01-05 02:00:00
276.125,2015-01-04 00:00:00,2015-01-05 03:00:00
231.9,2015-01-04 00:00:00,2015-01-05 04:00:00
195.45,2015-01-04 00:00:00,2015-01-05 05:00:00
149.7,2015-01-04 00:00:00,2015-01-05 06:00:00
114.3,2015-01-04 00:00:00,2015-01-05 07:00:00
87.575,2015-01-04 00:00:00,2015-01-05 08:00:00
48.775,2015-01-04 00:00:00,2015-01-05 09:00:00
31.5,2015-01-04 00:00:00,2015-01-05 10:00:00
49.475,2015-01-04 00:00:00,2015-01-05 11:00:00
86.8,2015-01-04 00:00:00,2015-01-05 12:00:00
92.525,2015-01-04 00:00:00,2015-01-05 13:00:00
135.775,2015-01-04 00:00:00,2015-01-05 14:00:00
188.2,2015-01-04 00:00:00,2015-01-05 15:00:00
