Value,Name
0.222243256,Demand
0.101779908,Demand
0.073483084,wind_gust5
0.055873396,wind_gust5
0.024067861,pressure17
0.021569712,wind_speed_100m15
0.020815676,wind_speed18
0.020632517,pressure17
0.019419097,wind_gust6
0.017289259,wind_gust15
0.01670917,wind_speed15
0.016647627,wind_gust5
0.015726766,wind_speed_100m14
0.014953174,wind_speed_100m5
0.014008492,Hour
0.012590926,wind_gust13
0.012563722,Hour
0.011729596,wind_speed14
0.010256802,wind_gust6
0.008286316,Demand
0.007973691,AheadPrice
0.007558829,wind_speed6
0.007406124,wind_gust15
0.007090081,wind_speed_100m18
0.006702545,wind_speed_100m15
0.006403905,pressure18
0.00634752,wind_speed18
0.0063342,pressure3
0.006129923,wind_gust12
0.005978083,pressure14
0.005716242,wind_direction_100m
0.005619957,wind_direction10
0.005391118,wind_direction13
0.005168195,wind_gust18
0.005140115,wind_speed_100m5
0.005050835,pressure18
0.004941512,wind_direction_100m
0.004697174,wind_direction5
0.004617124,wind_speed_100m15
0.004170185,wind_speed_100m18
0.004024847,wind_speed_100m14
0.003787577,pressure9
0.003410377,wind_gust13
0.003393405,wind_speed_100m6
0.003208121,pressure14
0.003095197,wind_direction_100m5
0.003050687,wind_speed6
0.003026903,AheadPrice
0.002941697,wind_gust10
0.002856477,wind_direction13
0.002726607,pressure9
0.002552094,wind_direction_100m2
0.002517354,wind_speed_100m10
0.002504597,wind_direction_100m2
0.002499062,wind_speed4
0.002423514,wind_direction_100m5
0.002420313,wind_speed_100m14
0.002395686,pressure5
0.002368897,wind_speed7
0.002334028,wind_gust18
0.002269117,wind_speed_100m16
0.002266299,wind_direction5
0.002061739,wind_speed10
0.002038063,wind_speed3
0.002019461,pressure5
0.001907429,wind_direction_100m10
0.0018687,pressure13
0.001733811,wind_gust14
0.00171637,pressure
0.001687013,wind_direction_100m10
0.001674754,pressure17
0.001657103,wind_speed18
0.001626355,wind_gust7
0.001615717,wind_direction_100m15
0.001597065,wind_direction15
0.001575099,temperature17
0.001547501,wind_direction10
0.00154627,wind_speed_100m6
0.001514101,AheadPrice
0.001467074,wind_direction16
0.001448812,radiation16
0.001427319,wind_gust17
0.001421851,wind_direction10
0.001355319,wind_direction9
0.001340356,pressure
0.001339937,temperature6
0.001288267,air_density4
0.001280872,pressure13
0.001279592,temperature5
0.001278793,wind_speed14
0.001275761,wind_speed10
0.001192801,wind_direction_100m11
0.00118266,wind_direction_100m10
0.00118111,wind_direction4
0.001171365,wind_direction5
0.001158311,wind_speed_100m7
0.001151682,wind_direction15
0.001137758,temperature8
0.001133638,wind_speed16
0.001125499,wind_gust16
0.001093777,wind_speed14
0.001070611,pressure3
0.001060403,air_density8
0.001032954,wind_gust7
0.001029385,AveragePrice
0.001026504,wind_speed_100m11
0.001024292,wind_gust18
0.000972088,air_density16
0.000971644,air_density18
0.000962484,wind_gust10
0.000960197,temperature8
0.000951755,wind_direction_100m15
0.000916676,temperature18
0.000910586,air_density8
0.000840785,radiation13
0.000828845,wind_direction13
0.000820997,wind_direction_100m5
0.000812732,wind_speed10
0.000802848,wind_speed16
0.000799296,air_density17
0.000781503,wind_gust11
0.000762094,pressure9
0.000747136,pressure
0.000704299,wind_direction_100m15
0.000652116,radiation4
0.000649118,wind_gust12
0.000648518,radiation16
0.000642035,wind_direction6
0.000621575,pressure18
0.000600936,wind_direction7
0.000600526,air_density16
0.000585092,pressure5
0.000575635,air_density7
0.000569694,wind_gust17
0.000562651,pressure12
0.000558062,wind_speed3
0.00054723,temperature9
0.000525503,pressure13
0.000525176,wind_speed6
0.000518539,wind_speed
0.000511216,wind_speed13
0.000508601,wind_direction_100m14
0.000504258,wind_speed_100m8
0.000498792,temperature10
0.000486538,wind_gust16
0.000483505,pressure3
0.00047722,wind_direction_100m14
0.000473859,wind_direction_100m12
0.000469763,wind_gust15
0.000462967,wind_speed_100m16
0.000454811,wind_speed_100m11
0.000450251,pressure2
0.000449393,wind_speed4
0.000439814,wind_direction2
0.000437774,wind_direction_100m13
0.000433635,wind_direction2
0.00042435,wind_speed_100m7
0.000415012,wind_speed_100m6
0.000410512,air_density18
0.000403361,wind_direction16
0.000400407,wind_direction_100m6
0.000395955,wind_direction_100m6
0.000387782,wind_direction17
0.000381911,temperature16
0.000378067,wind_speed7
0.000365406,pressure16
0.000339806,wind_direction_100m18
0.000327745,air_density11
0.000327658,wind_gust2
0.000323293,Ahead
0.000320279,wind_speed4
0.000317664,AveragePrice
0.000306706,wind_speed15
0.000300914,air_density7
0.000298906,temperature13
0.000286189,wind_speed7
0.000282916,wind_speed_100m13
0.000278991,air_density8
0.00026913,temperature18
0.000249055,temperature3
0.000245311,wind_gust
0.000242747,air_density18
0.000234286,wind_gust
0.00022979,wind_speed13
0.00020999,pressure4
0.000205936,radiation7
0.000203587,wind_gust14
0.000203166,temperature12
0.000198252,wind_speed5
0.000191899,temperature6
0.000191421,wind_speed_100m16
0.000188961,wind_speed_100m18
0.000187283,wind_direction_100m3
0.000184048,temperature8
0.000182626,wind_speed12
0.000177838,air_density15
0.000177779,wind_direction
0.000170543,wind_direction_100m11
0.000167922,pressure12
0.000166115,radiation7
0.000164379,air_density4
0.000157267,pressure14
0.000152053,wind_direction4
0.00014364,wind_speed_100m4
0.000139664,air_density9
0.000126866,radiation13
0.000124257,pressure15
0.000115515,temperature11
0.000107188,pressure11
0.000105704,temperature12
0.000104693,pressure12
0.000101075,wind_gust13
9.59E-05,air_density6
7.59E-05,temperature14
7.27E-05,wind_speed11
6.72E-05,radiation15
3.84E-06,temperature16
0,wind_speed_100m
0,wind_direction_100m
0,temperature
0,air_density
0,precipitation
0,radiation
0,wind_speed
0,wind_speed_100m2
