Number,Value,Name
184,0.235988441,Demand
416,0.177057258,wind_gust5
231,0.091888149,wind_gust5
369,0.04044176,Demand
178,0.038590207,wind_speed18
164,0.019883365,pressure17
349,0.012785992,pressure17
174,0.012359969,pressure18
176,0.010615648,wind_gust18
68,0.010493308,wind_speed7
469,0.008020858,wind_direction10
410,0.006592799,wind_speed_100m5
342,0.004360219,radiation16
170,0.003831457,wind_speed_100m18
534,0.003803621,pressure17
551,0.003681856,AheadPrice
554,0.003566241,Demand
361,0.003386427,wind_gust18
183,0.003096638,Hour
506,0.003028048,wind_gust14
359,0.002928353,pressure18
99,0.002807633,wind_direction10
66,0.002591923,wind_gust7
363,0.002454425,wind_speed18
121,0.002433377,wind_direction_100m13
411,0.002422815,wind_direction_100m5
134,0.002358052,pressure14
129,0.002328875,wind_direction13
366,0.002268454,AheadPrice
436,0.002139593,wind_gust7
4,0.002096159,pressure
319,0.00208254,pressure14
553,0.002012097,Hour
460,0.001981584,wind_speed_100m10
148,0.001933006,wind_speed15
41,0.001821533,wind_direction_100m5
494,0.00181603,pressure13
24,0.001798905,pressure3
138,0.00179519,wind_speed14
311,0.001777105,wind_gust13
226,0.001771983,wind_direction_100m5
430,0.001749573,wind_speed_100m7
302,0.001736621,radiation12
28,0.00169683,wind_speed3
253,0.001668864,wind_speed7
181,0.001642526,AheadPrice
124,0.001621418,pressure13
243,0.001576047,wind_speed6
150,0.001551141,wind_speed_100m16
548,0.0015419,wind_speed18
284,0.001512621,wind_direction10
496,0.001446408,wind_gust13
46,0.001443231,wind_gust5
309,0.001440496,pressure13
156,0.001431683,wind_gust16
412,0.001429068,temperature5
499,0.001411663,wind_direction13
355,0.001384868,wind_speed_100m18
38,0.001382384,wind_speed4
136,0.001302614,wind_gust14
126,0.00129638,wind_gust13
523,0.001291974,air_density16
88,0.001286424,wind_speed9
544,0.001259885,pressure18
344,0.001259853,wind_direction16
471,0.001241793,wind_direction_100m11
414,0.001240877,pressure5
42,0.001234996,temperature5
324,0.001224356,wind_direction14
241,0.001221396,wind_gust6
333,0.001201386,wind_speed15
487,0.001201232,radiation12
139,0.001201034,wind_direction14
454,0.001200672,pressure9
527,0.001191546,radiation16
315,0.001189474,wind_speed_100m14
426,0.001183361,wind_gust6
500,0.00117293,wind_speed_100m14
44,0.001162402,pressure5
516,0.001156397,wind_gust15
122,0.001132162,temperature13
106,0.0011097,wind_gust11
354,0.001076907,wind_direction17
482,0.001071429,temperature12
546,0.001066785,wind_gust18
285,0.001052636,wind_speed_100m11
368,0.001050921,Hour
367,0.001048801,AveragePrice
441,0.001040164,wind_direction_100m8
269,0.001039928,pressure9
169,0.001031781,wind_direction17
307,0.001027784,temperature13
466,0.001024933,wind_gust10
101,0.001010553,wind_direction_100m11
60,0.000999122,wind_speed_100m7
50,0.000997047,wind_speed_100m6
130,0.000975968,wind_speed_100m14
131,0.00095441,wind_direction_100m14
235,0.000954076,wind_speed_100m6
182,0.000952164,AveragePrice
449,0.000947367,wind_direction8
86,0.000934726,wind_gust9
100,0.000933195,wind_speed_100m11
185,0.000919386,wind_speed_100m
314,0.000916311,wind_direction13
51,0.000909493,wind_direction_100m6
541,0.000900032,wind_direction_100m18
72,0.000895371,temperature8
524,0.000888749,pressure16
540,0.00087307,wind_speed_100m18
532,0.000871186,temperature17
323,0.000869671,wind_speed14
321,0.000867989,wind_gust14
111,0.000867457,wind_direction_100m12
74,0.000866238,pressure8
58,0.000865243,wind_speed6
171,0.000865033,wind_direction_100m18
34,0.000862742,pressure4
552,0.000857957,AveragePrice
229,0.000855725,pressure5
159,0.000854324,wind_direction16
531,0.000846888,wind_direction_100m17
279,0.000837731,pressure10
399,0.000829773,wind_direction3
347,0.000827097,temperature17
508,0.000825964,wind_speed14
529,0.000809736,wind_direction16
16,0.000804736,wind_gust2
420,0.000790318,wind_speed_100m6
14,0.000789804,pressure2
225,0.000787547,wind_speed_100m5
522,0.000786223,temperature16
470,0.000782706,wind_speed_100m11
325,0.000779688,wind_speed_100m15
59,0.000779183,wind_direction6
461,0.000778433,wind_direction_100m10
276,0.000767491,wind_direction_100m10
56,0.000762967,wind_gust6
456,0.000762172,wind_gust9
549,0.000760272,wind_direction18
158,0.000758779,wind_speed16
356,0.000755157,wind_direction_100m18
428,0.000750945,wind_speed6
264,0.000748746,wind_direction8
351,0.000747131,wind_gust17
223,0.000741911,wind_speed4
511,0.000738697,wind_direction_100m15
481,0.000738085,wind_direction_100m12
196,0.000738084,wind_direction_100m2
114,0.000735653,pressure12
378,0.000727797,wind_speed
492,0.000727607,temperature13
98,0.000726325,wind_speed10
509,0.000724186,wind_direction14
61,0.000723694,wind_direction_100m7
29,0.000723244,wind_direction3
337,0.000718246,temperature16
179,0.00071747,wind_direction18
404,0.000712373,pressure4
338,0.000712031,air_density16
214,0.000705525,wind_direction3
227,0.000704936,temperature5
172,0.000702889,temperature18
296,0.00070104,wind_direction_100m12
186,0.000699536,wind_direction_100m
306,0.00069728,wind_direction_100m13
21,0.000695432,wind_direction_100m3
49,0.000693133,wind_direction5
444,0.000692348,pressure8
166,0.000690413,wind_gust17
92,0.000688396,temperature10
376,0.000688012,wind_gust
530,0.000686637,wind_speed_100m17
396,0.000683599,wind_gust3
394,0.000682884,pressure3
286,0.000682013,wind_direction_100m11
519,0.000677632,wind_direction15
64,0.000677252,pressure7
257,0.000674368,temperature8
222,0.00067334,radiation4
335,0.000672652,wind_speed_100m16
109,0.000668546,wind_direction11
381,0.000666872,wind_direction_100m2
486,0.000662893,wind_gust12
370,0.000660577,wind_speed_100m
26,0.000651808,wind_gust3
20,0.000651286,wind_speed_100m3
281,0.000650032,wind_gust10
434,0.000649073,pressure7
160,0.000646308,wind_speed_100m17
80,0.000642569,wind_speed_100m9
108,0.000640974,wind_speed11
536,0.000635707,wind_gust17
479,0.000629165,wind_direction11
254,0.00062881,wind_direction7
9,0.000625042,wind_direction
82,0.00062172,temperature9
391,0.000620357,wind_direction_100m3
22,0.000614989,temperature3
518,0.000614507,wind_speed15
421,0.000612578,wind_direction_100m6
91,0.000610868,wind_direction_100m10
379,0.000610772,wind_direction
8,0.000607922,wind_speed
334,0.00060736,wind_direction15
168,0.00060659,wind_speed17
450,0.000606431,wind_speed_100m9
458,0.000606204,wind_speed9
274,0.000606189,wind_direction9
234,0.000603693,wind_direction5
439,0.000602359,wind_direction7
152,0.000595836,temperature16
442,0.000594618,temperature8
331,0.000592014,wind_gust15
390,0.000591995,wind_speed_100m3
339,0.00058723,pressure16
1,0.00058669,wind_direction_100m
371,0.000586069,wind_direction_100m
40,0.000585413,wind_speed_100m5
418,0.000585368,wind_speed5
140,0.000584918,wind_speed_100m15
70,0.000584821,wind_speed_100m8
408,0.000584585,wind_speed4
69,0.000582229,wind_direction7
191,0.000579506,wind_gust
497,0.000578184,radiation13
504,0.000577812,pressure14
141,0.000577626,wind_direction_100m15
146,0.000577293,wind_gust15
299,0.000577244,pressure12
429,0.000576251,wind_direction6
478,0.000575915,wind_speed11
382,0.000575549,temperature2
365,0.000575042,Ahead
246,0.000574138,wind_direction_100m7
162,0.000568026,temperature17
539,0.00056364,wind_direction17
251,0.000561106,wind_gust7
211,0.000558422,wind_gust3
476,0.000555998,wind_gust11
71,0.000554228,wind_direction_100m8
262,0.000552701,radiation8
102,0.000552534,temperature11
374,0.000551117,pressure
112,0.000550889,temperature12
149,0.000548778,wind_direction15
438,0.000543742,wind_speed7
194,0.000541078,wind_direction
491,0.000538788,wind_direction_100m13
271,0.000534924,wind_gust9
291,0.000532953,wind_gust11
